kp_id,title,type,url,description,difficulty,source
kp_2001,语法体系学习资源,course,https://www.chinaooc.com.cn/course/6504db51374ed23bd7560392,大学英语 - 语法体系相关学习视频/课程,2,国家智慧教育平台-大学英语
kp_2002,核心词汇学习资源,course,https://www.chinaooc.com.cn/course/6504db51374ed23bd7560392,大学英语 - 核心词汇相关学习视频/课程,2,国家智慧教育平台-大学英语
kp_2003,听力理解学习资源,course,https://www.chinaooc.com.cn/course/6504db51374ed23bd7560392,大学英语 - 听力理解相关学习视频/课程,2,国家智慧教育平台-大学英语
kp_2004,口语表达学习资源,course,https://www.chinaooc.com.cn/course/6504db51374ed23bd7560392,大学英语 - 口语表达相关学习视频/课程,2,国家智慧教育平台-大学英语
kp_2005,阅读理解学习资源,course,https://www.chinaooc.com.cn/course/6504db51374ed23bd7560392,大学英语 - 阅读理解相关学习视频/课程,2,国家智慧教育平台-大学英语
kp_2006,翻译策略学习资源,course,https://www.chinaooc.com.cn/course/6504db51374ed23bd7560392,大学英语 - 翻译策略相关学习视频/课程,2,国家智慧教育平台-大学英语
kp_2007,写作技巧学习资源,course,https://www.chinaooc.com.cn/course/6504db51374ed23bd7560392,大学英语 - 写作技巧相关学习视频/课程,2,国家智慧教育平台-大学英语
kp_2008,英美文学与文化学习资源,course,https://www.chinaooc.com.cn/course/6504db51374ed23bd7560392,大学英语 - 英美文学与文化相关学习视频/课程,2,国家智慧教育平台-大学英语
kp_2009,时态与语态学习资源,course,https://www.chinaooc.com.cn/course/6504db51374ed23bd7560392,大学英语 - 时态与语态相关学习视频/课程,2,国家智慧教育平台-大学英语
kp_2010,虚拟语气学习资源,course,https://www.chinaooc.com.cn/course/6504db51374ed23bd7560392,大学英语 - 虚拟语气相关学习视频/课程,2,国家智慧教育平台-大学英语
kp_2011,非谓语动词学习资源,course,https://www.chinaooc.com.cn/course/6504db51374ed23bd7560392,大学英语 - 非谓语动词相关学习视频/课程,2,国家智慧教育平台-大学英语
kp_2012,各类从句学习资源,course,https://www.chinaooc.com.cn/course/6504db51374ed23bd7560392,大学英语 - 各类从句相关学习视频/课程,2,国家智慧教育平台-大学英语
kp_2013,倒装与强调学习资源,course,https://www.chinaooc.com.cn/course/6504db51374ed23bd7560392,大学英语 - 倒装与强调相关学习视频/课程,2,国家智慧教育平台-大学英语
kp_2014,词根与词缀学习资源,course,https://www.chinaooc.com.cn/course/6504db51374ed23bd7560392,大学英语 - 词根与词缀相关学习视频/课程,2,国家智慧教育平台-大学英语
kp_2015,近义词辨析学习资源,course,https://www.chinaooc.com.cn/course/6504db51374ed23bd7560392,大学英语 - 近义词辨析相关学习视频/课程,2,国家智慧教育平台-大学英语
kp_2016,固定搭配与短语动词学习资源,course,https://www.chinaooc.com.cn/course/6504db51374ed23bd7560392,大学英语 - 固定搭配与短语动词相关学习视频/课程,2,国家智慧教育平台-大学英语
