kp_id,subject,name,parent_id
kp_7001,操作系统,操作系统概述,
kp_7002,操作系统,进程与线程管理,
kp_7003,操作系统,CPU调度,
kp_7004,操作系统,同步与并发控制,
kp_7005,操作系统,死锁,
kp_7006,操作系统,内存管理基础,
kp_7007,操作系统,虚拟内存管理,
kp_7008,操作系统,文件管理,
kp_7009,操作系统,输入输出（I/O）管理,
kp_7010,操作系统,操作系统的目标、发展与分类,kp_7001
kp_7011,操作系统,中断、异常与系统调用,kp_7001
kp_7012,操作系统,操作系统的启动流程（引导）,kp_7001
kp_7013,操作系统,进程控制块（PCB）与进程生命周期,kp_7002
kp_7014,操作系统,进程上下文切换过程,kp_7002
kp_7015,操作系统,用户级线程与内核级线程模型,kp_7002
kp_7016,操作系统,多线程模型（一对一、多对一、多对多）,kp_7002
kp_7017,操作系统,调度性能指标（周转、等待、响应、吞吐量）,kp_7003
kp_7018,操作系统,先来先服务（FCFS）与短作业优先（SJF）,kp_7003
kp_7019,操作系统,轮转法（RR）与高响应比优先（HRRN）,kp_7003
kp_7020,操作系统,优先级调度与多级反馈队列（MLFQ）,kp_7003
kp_7021,操作系统,临界区与同步互斥基本原则（忙则等待、有限等待等）,kp_7004
kp_7022,操作系统,信号量机制（整型、记录型信号量）,kp_7004
kp_7023,操作系统,管程（Monitor）与条件变量,kp_7004
kp_7024,操作系统,经典同步问题（生产者-消费者、读者-写者、哲学家进餐）,kp_7004
kp_7025,操作系统,死锁的四个必要条件（互斥、占有等待、非抢占、循环等待）,kp_7005
kp_7026,操作系统,死锁预防与死锁避免（银行家算法）,kp_7005
kp_7027,操作系统,死锁检测与死锁恢复,kp_7005
kp_7028,操作系统,地址绑定与逻辑/物理地址转换机制（MMU）,kp_7006
kp_7029,操作系统,连续分配存储方式与动态分区分配算法（首次/最佳/最差适应）,kp_7006
kp_7030,操作系统,分页存储管理（页表、页表项、TLB快表）,kp_7006
kp_7031,操作系统,分段存储管理与段页式结合存储,kp_7006
kp_7032,操作系统,虚拟内存与请求分页技术,kp_7007
kp_7033,操作系统,页面置换算法（FIFO、OPT最优、LRU、Clock/二次机会）,kp_7007
kp_7034,操作系统,工作集模型与系统颠簸（抖动）的防治,kp_7007
kp_7035,操作系统,文件的逻辑结构（流式文件、记录式文件）与访问方法,kp_7008
kp_7036,操作系统,目录结构（单级、两级、树形、无环图）,kp_7008
kp_7037,操作系统,磁盘空间分配方法（连续分配、链接分配、索引分配）,kp_7008
kp_7038,操作系统,空闲空间管理（位图、空闲链表、成组链接法）,kp_7008
kp_7039,操作系统,磁盘结构、寻道时间与磁盘调度算法（SSTF、SCAN、C-SCAN）,kp_7008
kp_7040,操作系统,I/O硬件体系（轮询、中断驱动、DMA直接内存访问）,kp_7009
kp_7041,操作系统,设备驱动程序与内核I/O子系统,kp_7009
kp_7042,操作系统,缓冲、高速缓存与假脱机（Spooling）技术,kp_7009
