kp_id,subject,name,parent_id
kp_001,高等数学,函数与极限,
kp_002,高等数学,导数与微分,
kp_003,高等数学,微分中值定理与导数的应用,
kp_004,高等数学,不定积分,
kp_005,高等数学,定积分,
kp_006,高等数学,定积分的应用,
kp_007,高等数学,微分方程,
kp_008,高等数学,向量代数与空间解析几何,
kp_009,高等数学,多元函数微分学,
kp_010,高等数学,重积分,
kp_011,高等数学,曲线积分与曲面积分,
kp_012,高等数学,无穷级数,
kp_101,高等数学,映射与函数,kp_001
kp_102,高等数学,数列极限,kp_001
kp_103,高等数学,函数极限,kp_001
kp_104,高等数学,无穷小与无穷大,kp_001
kp_105,高等数学,极限运算法则,kp_001
kp_106,高等数学,极限存在准则,kp_001
kp_107,高等数学,无穷小的比较,kp_001
kp_108,高等数学,函数的连续性,kp_001
kp_201,高等数学,导数概念,kp_002
kp_202,高等数学,求导法则,kp_002
kp_203,高等数学,高阶导数,kp_002
kp_204,高等数学,隐函数求导,kp_002
kp_205,高等数学,参数方程求导,kp_002
kp_206,高等数学,微分,kp_002
kp_301,高等数学,中值定理,kp_003
kp_302,高等数学,洛必达法则,kp_003
kp_303,高等数学,泰勒公式,kp_003
kp_304,高等数学,函数单调性与极值,kp_003
kp_305,高等数学,凹凸性与拐点,kp_003
kp_306,高等数学,弧微分与曲率,kp_003
kp_401,高等数学,不定积分概念与性质,kp_004
kp_402,高等数学,换元积分法,kp_004
kp_403,高等数学,分部积分法,kp_004
kp_404,高等数学,有理函数积分,kp_004
kp_501,高等数学,定积分概念与性质,kp_005
kp_502,高等数学,微积分基本公式,kp_005
kp_503,高等数学,定积分换元与分部,kp_005
kp_504,高等数学,反常积分,kp_005
kp_601,高等数学,平面面积,kp_006
kp_602,高等数学,旋转体体积,kp_006
kp_603,高等数学,弧长,kp_006
kp_604,高等数学,物理应用,kp_006
kp_701,高等数学,微分方程基本概念,kp_007
kp_702,高等数学,可分离变量方程,kp_007
kp_703,高等数学,齐次方程,kp_007
kp_704,高等数学,一阶线性方程,kp_007
kp_705,高等数学,高阶线性微分方程,kp_007
kp_801,高等数学,向量及其运算,kp_008
kp_802,高等数学,平面及其方程,kp_008
kp_803,高等数学,空间直线,kp_008
kp_804,高等数学,曲面与空间曲线,kp_008
kp_901,高等数学,多元函数极限与连续,kp_009
kp_902,高等数学,偏导数,kp_009
kp_903,高等数学,全微分,kp_009
kp_904,高等数学,复合函数求导,kp_009
kp_905,高等数学,隐函数求导（多元）,kp_009
kp_906,高等数学,多元函数极值,kp_009
kp_1001,高等数学,二重积分,kp_010
kp_1002,高等数学,三重积分,kp_010
kp_1101,高等数学,对弧长的曲线积分,kp_011
kp_1102,高等数学,对坐标的曲线积分,kp_011
kp_1103,高等数学,格林公式,kp_011
kp_1104,高等数学,对面积的曲面积分,kp_011
kp_1105,高等数学,高斯公式,kp_011
kp_1106,高等数学,斯托克斯公式,kp_011
kp_1201,高等数学,常数项级数,kp_012
kp_1202,高等数学,幂级数,kp_012
kp_1203,高等数学,傅里叶级数,kp_012
