kp_id,subject,name,parent_id
kp_2001,大学英语,语法体系,
kp_2002,大学英语,核心词汇,
kp_2003,大学英语,听力理解,
kp_2004,大学英语,口语表达,
kp_2005,大学英语,阅读理解,
kp_2006,大学英语,翻译策略,
kp_2007,大学英语,写作技巧,
kp_2008,大学英语,英美文学与文化,
kp_2009,大学英语,时态与语态,kp_2001
kp_2010,大学英语,虚拟语气,kp_2001
kp_2011,大学英语,非谓语动词,kp_2001
kp_2012,大学英语,各类从句,kp_2001
kp_2013,大学英语,倒装与强调,kp_2001
kp_2014,大学英语,词根与词缀,kp_2002
kp_2015,大学英语,近义词辨析,kp_2002
kp_2016,大学英语,固定搭配与短语动词,kp_2002
kp_2017,大学英语,辨音与听力笔记,kp_2003
kp_2018,大学英语,情景对话听力,kp_2003
kp_2019,大学英语,学术讲座与新闻听力,kp_2003
kp_2020,大学英语,发音规则与语调,kp_2004
kp_2021,大学英语,日常口语场景,kp_2004
kp_2022,大学英语,学术讨论与陈述,kp_2004
kp_2023,大学英语,略读与寻读,kp_2005
kp_2024,大学英语,长难句语法分析,kp_2005
kp_2025,大学英语,推理判断与主旨归纳,kp_2005
kp_2026,大学英语,英译汉策略,kp_2006
kp_2027,大学英语,汉译英策略,kp_2006
kp_2028,大学英语,翻译中的文化转换与增删,kp_2006
kp_2029,大学英语,段落结构与主题句,kp_2007
kp_2030,大学英语,议论文写作,kp_2007
kp_2031,大学英语,应用文与图表作文,kp_2007
kp_2032,大学英语,英国文学名家与流派,kp_2008
kp_2033,大学英语,美国文学名家与流派,kp_2008
kp_2034,大学英语,跨文化交际与语用差异,kp_2008
