kp_id,subject,name,parent_id
kp_4001,算法,算法基础与复杂度分析,
kp_4002,算法,递归与分治策略,
kp_4003,算法,贪心算法,
kp_4004,算法,动态规划,
kp_4005,算法,图算法进阶,
kp_4006,算法,搜索算法,
kp_4007,算法,字符串匹配算法,
kp_4008,算法,数论与组合数学算法,
kp_4009,算法,回溯与分支限界,
kp_4010,算法,NP完全理论与近似算法,
kp_4011,算法,算法的基本概念与特征,kp_4001
kp_4012,算法,渐近符号（大O/Ω/Θ）,kp_4001
kp_4013,算法,递归方程求解（代入/递归树/主定理）,kp_4001
kp_4014,算法,算法效率的比较与最优性,kp_4001
kp_4015,算法,分治思想与主定理应用,kp_4002
kp_4016,算法,快速排序与归并排序的分治实现,kp_4002
kp_4017,算法,最大子数组问题的分治法,kp_4002
kp_4018,算法,大整数乘法与矩阵乘法的分治优化,kp_4002
kp_4019,算法,贪心算法的基本要素（最优子结构/贪心选择）,kp_4003
kp_4020,算法,活动选择问题与区间调度,kp_4003
kp_4021,算法,哈夫曼编码（贪心构造）,kp_4003
kp_4022,算法,最小生成树（Prim与Kruskal贪心实现）,kp_4003
kp_4023,算法,单源最短路径（Dijkstra贪心算法）,kp_4003
kp_4024,算法,动态规划的基本思想与步骤,kp_4004
kp_4025,算法,钢条切割问题与矩阵链乘,kp_4004
kp_4026,算法,最长公共子序列（LCS）与编辑距离,kp_4004
kp_4027,算法,0/1背包问题与完全背包,kp_4004
kp_4028,算法,最优二叉搜索树,kp_4004
kp_4029,算法,动态规划优化（四边形不等式/斜率优化）,kp_4004
kp_4030,算法,图的遍历（DFS与BFS）的算法实现,kp_4005
kp_4031,算法,拓扑排序与关键路径（AOV/AOE网）,kp_4005
kp_4032,算法,所有顶点对最短路径（Floyd-Warshall与Johnson）,kp_4005
kp_4033,算法,最大流问题（Ford-Fulkerson与Dinic算法）,kp_4005
kp_4034,算法,二分图匹配（匈牙利算法）,kp_4005
kp_4035,算法,线性搜索与二分搜索变体,kp_4006
kp_4036,算法,深度优先搜索与广度优先搜索的扩展应用,kp_4006
kp_4037,算法,启发式搜索（A*算法与IDA*）,kp_4006
kp_4038,算法,博弈搜索（极小极大算法与α-β剪枝）,kp_4006
kp_4039,算法,字符串匹配的朴素算法与Rabin-Karp,kp_4007
kp_4040,算法,Knuth-Morris-Pratt（KMP）算法,kp_4007
kp_4041,算法,Boyer-Moore算法与Sunday算法,kp_4007
kp_4042,算法,有限自动机匹配与正则表达式基础,kp_4007
kp_4043,算法,欧几里得算法与扩展欧几里得,kp_4008
kp_4044,算法,素数测试（Miller-Rabin）与埃氏筛法,kp_4008
kp_4045,算法,快速幂算法与模运算性质,kp_4008
kp_4046,算法,排列组合生成与容斥原理,kp_4008
kp_4047,算法,回溯法（八皇后、子集和、哈密顿路径）,kp_4009
kp_4048,算法,分支限界法（旅行商问题、背包界限）,kp_4009
kp_4049,算法,P、NP、NPC与NP-hard问题的定义与关系,kp_4010
kp_4050,算法,典型NP完全问题（SAT、顶点覆盖、哈密顿回路）,kp_4010
kp_4051,算法,近似算法（顶点覆盖近似、旅行商近似）与随机算法（Las Vegas/Monte Carlo）,kp_4010
