kp_id,subject,name,parent_id
kp_5001,线性代数,行列式,
kp_5002,线性代数,矩阵及其运算,
kp_5003,线性代数,向量与线性方程组,
kp_5004,线性代数,特征值与特征向量,
kp_5005,线性代数,二次型,
kp_5006,线性代数,线性空间与线性变换,
kp_5007,线性代数,行列式的定义与基本性质,kp_5001
kp_5008,线性代数,余子式与代数余子式（展开定理）,kp_5001
kp_5009,线性代数,克莱姆（Cramer）法则,kp_5001
kp_5010,线性代数,矩阵的线性运算与乘法,kp_5002
kp_5011,线性代数,逆矩阵与伴随矩阵,kp_5002
kp_5012,线性代数,分块矩阵及其运算,kp_5002
kp_5013,线性代数,矩阵的初等变换与初等矩阵,kp_5002
kp_5014,线性代数,矩阵的秩与满秩矩阵,kp_5002
kp_5015,线性代数,向量及其线性相关性（线性相关/无关）,kp_5003
kp_5016,线性代数,向量组的秩与极大线性无关组,kp_5003
kp_5017,线性代数,线性方程组有解判别定理（相容性）,kp_5003
kp_5018,线性代数,线性方程组解的结构（基础解系与通解）,kp_5003
kp_5019,线性代数,特征值与特征向量的定义与计算,kp_5004
kp_5020,线性代数,特征值与特征向量的性质,kp_5004
kp_5021,线性代数,相似矩阵与矩阵的对角化条件,kp_5004
kp_5022,线性代数,实对称矩阵的正交对角化,kp_5004
kp_5023,线性代数,二次型及其标准形（配方法与正交变换法）,kp_5005
kp_5024,线性代数,惯性定理与规范形,kp_5005
kp_5025,线性代数,正定二次型与正定矩阵的判定（赫尔维茨定理）,kp_5005
kp_5026,线性代数,线性空间的定义与基本性质（加法与数乘）,kp_5006
kp_5027,线性代数,基、维数与向量的坐标表示,kp_5006
kp_5028,线性代数,基变换与坐标变换（过渡矩阵）,kp_5006
kp_5029,线性代数,线性变换及其在基下的矩阵表示,kp_5006
