kp_id,subject,name,parent_id
kp_10001,软件工程,软件工程概述,
kp_10002,软件工程,软件过程与生命周期,
kp_10003,软件工程,需求工程,
kp_10004,软件工程,软件设计,
kp_10005,软件工程,软件构造与编码,
kp_10006,软件工程,软件测试,
kp_10007,软件工程,软件维护,
kp_10008,软件工程,软件项目管理,
kp_10009,软件工程,软件质量保证,
kp_10010,软件工程,软件工程工具与环境,
kp_10011,软件工程,软件工程的定义与本质,kp_10001
kp_10012,软件工程,软件危机与软件工程发展历程,kp_10001
kp_10013,软件工程,软件工程的基本原理与目标,kp_10001
kp_10014,软件工程,软件工程的道德与职业规范,kp_10001
kp_10015,软件工程,瀑布模型（Waterfall）与文档驱动,kp_10002
kp_10016,软件工程,增量模型与迭代模型（螺旋模型、RUP）,kp_10002
kp_10017,软件工程,敏捷模型（Scrum、XP极限编程、看板）,kp_10002
kp_10018,软件工程,DevOps与持续交付/持续集成,kp_10002
kp_10019,软件工程,软件生命周期各阶段（可行性、需求、设计、编码、测试、运维）,kp_10002
kp_10020,软件工程,需求获取方法与技术（访谈、问卷调查、联合分析）,kp_10003
kp_10021,软件工程,需求分析建模（数据流图DFD、实体关系图ERD、用例图）,kp_10003
kp_10022,软件工程,需求规格说明（SRS）的编写与评审,kp_10003
kp_10023,软件工程,需求验证与变更管理（需求跟踪矩阵）,kp_10003
kp_10024,软件工程,软件设计的基本原则（抽象、模块化、信息隐藏、高内聚低耦合）,kp_10004
kp_10025,软件工程,软件体系结构风格（分层、客户-服务器、微服务、事件驱动）,kp_10004
kp_10026,软件工程,模块化设计与接口设计,kp_10004
kp_10027,软件工程,详细设计工具（流程图、N-S图、PAD图、伪代码）,kp_10004
kp_10028,软件工程,面向对象设计原则（SOLID原则、GRASP模式）与设计模式简介（工厂、单例、观察者等）,kp_10004
kp_10029,软件工程,编码规范与编程风格（命名、注释、格式化）,kp_10005
kp_10030,软件工程,代码审查（Code Review）与静态分析工具（SonarQube/Checkstyle）,kp_10005
kp_10031,软件工程,重构（Refactoring）与代码坏味（Code Smell）,kp_10005
kp_10032,软件工程,集成开发环境（IDE）与版本控制（Git/SVN）的协作流程,kp_10005
kp_10033,软件工程,软件测试的基本概念（静态/动态、黑盒/白盒）,kp_10006
kp_10034,软件工程,白盒测试方法（语句覆盖、判定覆盖、条件覆盖、路径覆盖）,kp_10006
kp_10035,软件工程,黑盒测试方法（等价类划分、边界值分析、决策表、因果图）,kp_10006
kp_10036,软件工程,测试阶段（单元测试、集成测试（自顶向下/自底向上）、系统测试、验收测试）,kp_10006
kp_10037,软件工程,自动化测试与测试驱动开发（TDD）,kp_10006
kp_10038,软件工程,软件维护类型（修正性、适应性、完善性、预防性）与维护过程,kp_10007
kp_10039,软件工程,软件可维护性度量（圈复杂度、注释密度）与逆向工程/再工程,kp_10007
kp_10040,软件工程,软件配置管理（版本标识、变更控制、基线管理）,kp_10007
kp_10041,软件工程,软件项目管理概述（项目规划、进度安排、成本估算）,kp_10008
kp_10042,软件工程,成本估算方法（COCOMO、功能点分析法、类比估算法）,kp_10008
kp_10043,软件工程,进度管理（甘特图、关键路径法CPM、PERT图）,kp_10008
kp_10044,软件工程,风险管理（风险识别、评估、应对计划）与项目监控,kp_10008
kp_10045,软件工程,团队组织与沟通管理（参与式、民主式、主程序员团队等）,kp_10008
kp_10046,软件工程,软件质量定义与质量模型（McCall、ISO 9126、Boehm）,kp_10009
kp_10047,软件工程,软件质量保证（SQA）活动与计划,kp_10009
kp_10048,软件工程,软件能力成熟度模型集成（CMMI）等级与过程域,kp_10009
kp_10049,软件工程,ISO 9001及敏捷质量实践（结对编程、持续集成）,kp_10009
kp_10050,软件工程,CASE工具（计算机辅助软件工程）与环境集成,kp_10010
kp_10051,软件工程,建模工具（UML建模工具如Enterprise Architect、StarUML）,kp_10010
kp_10052,软件工程,测试工具（JUnit、Selenium、LoadRunner）与性能监控,kp_10010
kp_10053,软件工程,项目管理工具（JIRA、禅道、Trello）与协作平台,kp_10010
