kp_id,subject,name,parent_id
kp_6001,概率论与数理统计,概率论的基本概念,
kp_6002,概率论与数理统计,一维随机变量及其分布,
kp_6003,概率论与数理统计,多维随机变量及其分布,
kp_6004,概率论与数理统计,随机变量的数字特征,
kp_6005,概率论与数理统计,大数定律与中心极限定理,
kp_6006,概率论与数理统计,数理统计的基本概念,
kp_6007,概率论与数理统计,参数估计,
kp_6008,概率论与数理统计,假设检验,
kp_6009,概率论与数理统计,随机事件与样本空间,kp_6001
kp_6010,概率论与数理统计,概率的公理化定义与性质,kp_6001
kp_6011,概率论与数理统计,古典概型与几何概型,kp_6001
kp_6012,概率论与数理统计,条件概率与乘法公式,kp_6001
kp_6013,概率论与数理统计,全概率公式与贝叶斯（Bayes）公式,kp_6001
kp_6014,概率论与数理统计,事件的独立性（两两独立与相互独立）,kp_6001
kp_6015,概率论与数理统计,分布函数（CDF）定义与基本性质,kp_6002
kp_6016,概率论与数理统计,离散型随机变量（0-1分布、二项分布、泊松分布）,kp_6002
kp_6017,概率论与数理统计,连续型随机变量（均匀分布、指数分布、正态分布）,kp_6002
kp_6018,概率论与数理统计,一维随机变量函数的分布（分布函数法与公式法）,kp_6002
kp_6019,概率论与数理统计,联合分布函数与联合分布律/概率密度,kp_6003
kp_6020,概率论与数理统计,边缘分布与条件分布（离散与连续情形）,kp_6003
kp_6021,概率论与数理统计,随机变量的相互独立性判断,kp_6003
kp_6022,概率论与数理统计,二维随机变量函数的分布（和的卷积公式、最大最小值分布）,kp_6003
kp_6023,概率论与数理统计,数学期望的定义、性质与常用公式,kp_6004
kp_6024,概率论与数理统计,方差的定义、性质与切比雪夫不等式,kp_6004
kp_6025,概率论与数理统计,协方差与相关系数（线性相关性度量）,kp_6004
kp_6026,概率论与数理统计,矩（原点矩与中心矩）与协方差矩阵,kp_6004
kp_6027,概率论与数理统计,切比雪夫大数定律与马尔可夫大数定律,kp_6005
kp_6028,概率论与数理统计,辛钦大数定律（独立同分布情形）与伯努利大数定律,kp_6005
kp_6029,概率论与数理统计,林德伯格-莱维中心极限定理（独立同分布情形）,kp_6005
kp_6030,概率论与数理统计,棣莫弗-拉普拉斯中心极限定理（二项分布近似）,kp_6005
kp_6031,概率论与数理统计,总体与样本、经验分布函数,kp_6006
kp_6032,概率论与数理统计,常用统计量（样本均值、样本方差、样本矩）,kp_6006
kp_6033,概率论与数理统计,三大抽样分布（卡方分布、t分布、F分布）定义与性质,kp_6006
kp_6034,概率论与数理统计,正态总体的样本均值与样本方差分布定理,kp_6006
kp_6035,概率论与数理统计,点估计的矩估计法（替换原理）,kp_6007
kp_6036,概率论与数理统计,点估计的最大似然估计（MLE）与求解步骤,kp_6007
kp_6037,概率论与数理统计,估计量的评选标准（无偏性、有效性、一致性）,kp_6007
kp_6038,概率论与数理统计,区间估计（正态总体均值与方差的置信区间）,kp_6007
kp_6039,概率论与数理统计,假设检验的基本思想（显著性水平、两类错误、p值）,kp_6008
kp_6040,概率论与数理统计,正态总体均值的假设检验（Z检验与t检验）,kp_6008
kp_6041,概率论与数理统计,正态总体方差的假设检验（卡方检验与F检验）,kp_6008
kp_6042,概率论与数理统计,卡方拟合优度检验与列联表独立性检验,kp_6008
