kp_id,subject,name,parent_id
kp_8001,计算机网络,计算机网络概述,
kp_8002,计算机网络,物理层,
kp_8003,计算机网络,数据链路层,
kp_8004,计算机网络,网络层,
kp_8005,计算机网络,传输层,
kp_8006,计算机网络,应用层,
kp_8007,计算机网络,网络安全与管理,
kp_8008,计算机网络,计算机网络定义与功能,kp_8001
kp_8009,计算机网络,网络拓扑结构与分类（总线/星型/环型/网状）,kp_8001
kp_8010,计算机网络,性能指标（速率/带宽/时延/时延带宽积/RTT）,kp_8001
kp_8011,计算机网络,ISO/OSI与TCP/IP参考模型对比,kp_8001
kp_8012,计算机网络,物理层基本概念与模型（通信系统组成）,kp_8002
kp_8013,计算机网络,数据通信基础（奈奎斯特定理与香农定理）,kp_8002
kp_8014,计算机网络,传输介质（双绞线/同轴电缆/光纤/无线介质）,kp_8002
kp_8015,计算机网络,信道复用技术（FDM/TDM/WDM/CDM/码分复用）,kp_8002
kp_8016,计算机网络,宽带接入技术（xDSL/HFC/光纤接入FTTx）,kp_8002
kp_8017,计算机网络,数据链路层功能与服务（成帧/透明传输/差错控制）,kp_8003
kp_8018,计算机网络,差错检测与纠错（奇偶校验/CRC循环冗余/海明码）,kp_8003
kp_8019,计算机网络,介质访问控制（MAC）协议与CSMA/CD工作原理,kp_8003
kp_8020,计算机网络,以太网标准（经典以太网/快速以太网/千兆以太网/10G以太网）,kp_8003
kp_8021,计算机网络,网桥与交换机（透明网桥自学习算法与VLAN虚拟局域网）,kp_8003
kp_8022,计算机网络,生成树协议（STP）与链路层广播域隔离,kp_8003
kp_8023,计算机网络,网络层功能与IP数据报格式（首部字段详解）,kp_8004
kp_8024,计算机网络,IPv4地址分类与子网划分（VLSM可变长子网掩码与CIDR无分类编址）,kp_8004
kp_8025,计算机网络,IP地址解析协议（ARP）与代理ARP的工作原理,kp_8004
kp_8026,计算机网络,网际控制报文协议（ICMP）及其应用（ping与traceroute）,kp_8004
kp_8027,计算机网络,内部网关协议（RIP距离向量与OSPF链路状态）与外部网关协议（BGP路径向量）,kp_8004
kp_8028,计算机网络,IPv6基本格式（128位地址）与过渡技术（隧道/双栈/翻译）,kp_8004
kp_8029,计算机网络,传输层功能与端口号分配（知名端口/注册端口/动态端口）,kp_8005
kp_8030,计算机网络,无连接传输协议UDP（首部格式、校验与特点）,kp_8005
kp_8031,计算机网络,面向连接传输协议TCP（首部格式、序号与确认号机制）,kp_8005
kp_8032,计算机网络,TCP可靠传输机制（超时重传、冗余ACK与选择确认SACK）,kp_8005
kp_8033,计算机网络,TCP流量控制（滑动窗口协议）与拥塞控制（慢开始/拥塞避免/快重传/快恢复）,kp_8005
kp_8034,计算机网络,TCP连接管理（三次握手建立连接与四次挥手释放连接）,kp_8005
kp_8035,计算机网络,应用层概述与网络应用模型（C/S、P2P与混合模式）,kp_8006
kp_8036,计算机网络,域名系统（DNS）递归与迭代查询及域名解析过程,kp_8006
kp_8037,计算机网络,万维网协议（HTTP/HTTPS）与Cookie/Session会话管理,kp_8006
kp_8038,计算机网络,电子邮件协议（SMTP传输协议与POP3/IMAP读取协议）,kp_8006
kp_8039,计算机网络,文件传输协议（FTP主动/被动模式）与动态主机配置（DHCP工作流程）,kp_8006
kp_8040,计算机网络,网络安全基本概念（主动/被动攻击类型与安全服务）,kp_8007
kp_8041,计算机网络,对称加密（DES/AES）与非对称加密（RSA体系）,kp_8007
kp_8042,计算机网络,数字签名与数字证书（公钥基础设施PKI体系）,kp_8007
kp_8043,计算机网络,防火墙技术（包过滤/状态检测/应用代理）与入侵检测系统IDS,kp_8007
