kp_id,subject,name,parent_id
kp_3001,数据结构,绪论,
kp_3002,数据结构,线性表,
kp_3003,数据结构,栈与队列,
kp_3004,数据结构,串、数组与广义表,
kp_3005,数据结构,树与二叉树,
kp_3006,数据结构,图,
kp_3007,数据结构,查找（检索）,
kp_3008,数据结构,内部排序,
kp_3009,数据结构,数据结构基本概念与术语,kp_3001
kp_3010,数据结构,抽象数据类型（ADT）,kp_3001
kp_3011,数据结构,算法效率度量（时间与空间复杂度）,kp_3001
kp_3012,数据结构,线性表的顺序存储（顺序表）,kp_3002
kp_3013,数据结构,线性表的链式存储（单链表）,kp_3002
kp_3014,数据结构,链式存储扩展（双向与循环链表）,kp_3002
kp_3015,数据结构,栈（顺序栈与链栈）,kp_3003
kp_3016,数据结构,队列（顺序队列与链队列）,kp_3003
kp_3017,数据结构,栈与队列的典型应用（表达式求值、层次遍历）,kp_3003
kp_3018,数据结构,串的存储与模式匹配（BF与KMP算法）,kp_3004
kp_3019,数据结构,数组的存储结构（行/列优先）,kp_3004
kp_3020,数据结构,广义表的定义与操作,kp_3004
kp_3021,数据结构,二叉树的定义与五大性质,kp_3005
kp_3022,数据结构,二叉树的遍历（前序/中序/后序/层序）,kp_3005
kp_3023,数据结构,二叉排序树（BST）及其查找与插入,kp_3005
kp_3024,数据结构,平衡二叉树（AVL）旋转与调整,kp_3005
kp_3025,数据结构,堆与优先队列（大/小根堆）,kp_3005
kp_3026,数据结构,哈夫曼树与哈夫曼编码,kp_3005
kp_3027,数据结构,图的存储结构（邻接矩阵与邻接表）,kp_3006
kp_3028,数据结构,图的遍历（深度优先DFS与广度优先BFS）,kp_3006
kp_3029,数据结构,最小生成树（Prim算法与Kruskal算法）,kp_3006
kp_3030,数据结构,最短路径（Dijkstra算法与Floyd算法）,kp_3006
kp_3031,数据结构,拓扑排序与关键路径（AOV/AOE网）,kp_3006
kp_3032,数据结构,静态查找（顺序查找、折半查找、分块查找）,kp_3007
kp_3033,数据结构,动态查找（BST、AVL、B-树与B+树）,kp_3007
kp_3034,数据结构,哈希表与冲突解决（开放定址/链地址法）,kp_3007
kp_3035,数据结构,插入类排序（直接插入与希尔排序）,kp_3008
kp_3036,数据结构,交换类排序（冒泡排序与快速排序）,kp_3008
kp_3037,数据结构,选择类排序（简单选择排序与堆排序）,kp_3008
kp_3038,数据结构,归并排序与基数排序,kp_3008
kp_3039,数据结构,各类内部排序算法的性能比较与稳定性分析,kp_3008
