kp_id,subject,name,parent_id
kp_9001,数据库原理,绪论,
kp_9002,数据库原理,关系数据库,
kp_9003,数据库原理,关系数据库标准语言SQL,
kp_9004,数据库原理,数据库安全性,
kp_9005,数据库原理,数据库完整性,
kp_9006,数据库原理,关系数据理论（规范化）,
kp_9007,数据库原理,数据库设计（ER模型）,
kp_9008,数据库原理,数据库编程（存储过程与触发器）,
kp_9009,数据库原理,关系查询处理与优化,
kp_9010,数据库原理,事务与并发控制,
kp_9011,数据库原理,数据库恢复技术,
kp_9012,数据库原理,分布式数据库与NoSQL,
kp_9013,数据库原理,数据库基本概念（DB/DBS/DBMS）,kp_9001
kp_9014,数据库原理,数据模型三要素（数据结构/操作/完整性约束）,kp_9001
kp_9015,数据库原理,三级模式结构（外/概念/内模式）与两级映像（外模式/模式映像、模式/内模式映像）,kp_9001
kp_9016,数据库原理,关系数据结构（关系/元组/属性/码/域）,kp_9002
kp_9017,数据库原理,关系操作（选择σ、投影π、连接⋈、除÷）与关系代数,kp_9002
kp_9018,数据库原理,关系完整性约束（实体完整性、参照完整性、用户定义完整性）,kp_9002
kp_9019,数据库原理,SQL语言分类（DDL数据定义/DML数据操纵/DCL数据控制）,kp_9003
kp_9020,数据库原理,DDL语句（CREATE/ALTER/DROP）与数据库/表/索引的创建与删除,kp_9003
kp_9021,数据库原理,DML语句（SELECT查询/INSERT插入/UPDATE更新/DELETE删除）与多表连接查询,kp_9003
kp_9022,数据库原理,嵌套子查询（IN/EXISTS/ANY/ALL）与集合运算（UNION/INTERSECT/EXCEPT）,kp_9003
kp_9023,数据库原理,视图（View）的定义与使用及其更新限制,kp_9003
kp_9024,数据库原理,数据库安全性控制（用户标识、自主存取控制DAC、强制存取控制MAC）,kp_9004
kp_9025,数据库原理,授权与收权（GRANT/REVOKE）及角色（Role）管理,kp_9004
kp_9026,数据库原理,视图机制与审计（Audit）在安全中的应用,kp_9004
kp_9027,数据库原理,实体完整性定义与违约处理（主码与PRIMARY KEY）,kp_9005
kp_9028,数据库原理,参照完整性定义与违约处理（FOREIGN KEY与级联操作）,kp_9005
kp_9029,数据库原理,用户定义完整性（CHECK约束/默认值/非空约束）与命名完整性约束,kp_9005
kp_9030,数据库原理,函数依赖（完全/部分/传递函数依赖）与数据冗余问题,kp_9006
kp_9031,数据库原理,范式理论（1NF/2NF/3NF/BCNF/4NF）与分解算法（无损连接性与保持函数依赖）,kp_9006
kp_9032,数据库原理,数据库设计六阶段（需求分析/概念设计/逻辑设计/物理设计/实施/运行维护）,kp_9007
kp_9033,数据库原理,ER模型（实体/属性/联系）与ER图向关系模式的转换规则,kp_9007
kp_9034,数据库原理,存储过程（Stored Procedure）的创建与调用,kp_9008
kp_9035,数据库原理,触发器（Trigger）的工作原理、事件驱动机制与行级/语句级触发,kp_9008
kp_9036,数据库原理,游标（Cursor）的使用场景与操作步骤,kp_9008
kp_9037,数据库原理,查询代价估算与选择/投影/连接操作的实现算法（全表扫描/索引扫描）,kp_9009
kp_9038,数据库原理,连接操作实现算法（嵌套循环连接、排序归并连接、哈希连接）,kp_9009
kp_9039,数据库原理,查询树优化（关系代数等价变换规则与选择下推/投影尽早执行）,kp_9009
kp_9040,数据库原理,事务的ACID特性（原子性/一致性/隔离性/持久性）与事务状态,kp_9010
kp_9041,数据库原理,并发操作带来的数据不一致问题（丢失修改、脏读、不可重复读、幻读）,kp_9010
kp_9042,数据库原理,封锁机制（排它锁X/共享锁S）与三级封锁协议,kp_9010
kp_9043,数据库原理,两段锁协议（2PL）与死锁产生、预防及检测/解除（超时等待/图论检测）,kp_9010
kp_9044,数据库原理,事务隔离级别（READ UNCOMMITTED/READ COMMITTED/REPEATABLE READ/SERIALIZABLE）,kp_9010
kp_9045,数据库原理,数据库故障类型（事务内部故障/系统故障/介质故障）及恢复原理,kp_9011
kp_9046,数据库原理,基于日志（Log）的恢复机制（UNDO与REDO操作）及其实现策略,kp_9011
kp_9047,数据库原理,检查点（Checkpoint）技术与动态/静态恢复策略,kp_9011
kp_9048,数据库原理,分布式数据库体系结构（分片透明、位置透明、局部数据模型透明）与数据分片（水平/垂直/混合）,kp_9012
kp_9049,数据库原理,分布式事务与两阶段提交协议（2PC/3PC）,kp_9012
kp_9050,数据库原理,CAP理论（一致性/可用性/分区容错性）与NoSQL四大类型（键值/文档/列族/图数据库）,kp_9012
